Id, Start, End, Price
BC-01, 8:00, 9:00, 50000
MFF-01, 17:00, 18:30, 450000
ASP-01, 6:00, 7:00, 100000
BC-02, 10:00, 11:00, 50000
MFF-01, 19:00, 20:30, 450000
KSP-01, 8:00, 9:00, 60000
TC-01, 7:00, 8:00, 150000
TC-02, 9:00, 10:00, 150000
TTA-01, 14:00, 15:00, 30000
BC-03, 15:00, 16:00, 50000
MFF-01, 6:00, 7:00, 300000
ASP-01, 8:00, 9:00, 100000
TC-03, 9:00, 10:00, 150000
TTA-02, 10:00, 11:00, 30000
BC-04, 12:00, 13:00, 50000
MFF-01, 13:00, 14:00, 300000
KSP-01, 14:00, 15:00, 60000
TC-04, 15:00, 16:00, 150000
